date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:43:38	383206/383206	---M--	200	added ('OK')	image/png	etag:%225d8e6-58795fdebb27f%22	http://localhost:8081/wp-content/uploads/2018/06/2-2.png	localhost_8081/wp-content/uploads/2018/06/2-2.png	(from http://localhost:8081/?page_id=1023)
03:43:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:38%20GMT	http://localhost:8081/?p=825	localhost_8081/indexee96.html	(from http://localhost:8081/?page_id=825)
03:43:42	193555/193555	---M--	200	added ('OK')	image/jpeg	etag:%222f413-58795fe730368%22	http://localhost:8081/wp-content/uploads/2016/12/21-2.jpg	localhost_8081/wp-content/uploads/2016/12/21-2.jpg	(from http://localhost:8081/?page_id=825)
03:43:42	2251/2251	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:43:40%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D859	localhost_8081/indexb531.json	(from http://localhost:8081/?page_id=859)
03:43:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:43%20GMT	http://localhost:8081/?p=950	localhost_8081/index974f.html	(from http://localhost:8081/?page_id=825)
03:43:44	2348/2348	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:43:42%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D859&format=xml	localhost_8081/indexf5a1.php	(from http://localhost:8081/?page_id=859)
03:43:45	348530/348530	---M--	200	added ('OK')	image/png	etag:%2255172-58795fe04f74c%22	http://localhost:8081/wp-content/uploads/2018/06/3-2.png	localhost_8081/wp-content/uploads/2018/06/3-2.png	(from http://localhost:8081/?page_id=1023)
03:43:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:44%20GMT	http://localhost:8081/?p=2442	localhost_8081/indexe8a0.html	(from http://localhost:8081/?page_id=825)
03:43:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:44%20GMT	http://localhost:8081/?p=2448	localhost_8081/indexcbcb.html	(from http://localhost:8081/?page_id=825)
03:43:46	2191/2191	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:43:45%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D1364	localhost_8081/index.10cf525.delayed	(from http://localhost:8081/?page_id=1364)
03:43:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:46%20GMT	http://localhost:8081/?p=859	localhost_8081/index049d.html	(from http://localhost:8081/?page_id=859)
03:43:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:46%20GMT	http://localhost:8081/?p=1364	localhost_8081/indexee0c.html	(from http://localhost:8081/?page_id=1364)
03:43:48	2288/2288	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:43:47%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D1364&format=xml	localhost_8081/index4546.php	(from http://localhost:8081/?page_id=1364)
03:43:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:49%20GMT	http://localhost:8081/?p=2	localhost_8081/index905b.html	(from http://localhost:8081/?page_id=2)
03:43:50	2201/2201	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:43:48%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D2	localhost_8081/indexa54b.json	(from http://localhost:8081/?page_id=2)
03:43:50	749/749	---M-Z	200	added ('OK')	application/rss+xml	etag:%2261a886418b5467f06ccce6a4956adc00-gzip%22	http://localhost:8081/?feed=rss2&page_id=2	localhost_8081/index76cc.html	(from http://localhost:8081/?page_id=2)
03:43:52	2298/2298	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:43:50%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D2&format=xml	localhost_8081/index5c70.php	(from http://localhost:8081/?page_id=2)
03:43:54	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2001%20May%202019%2010:43:52%20GMT	http://localhost:8081/wp-admin/	localhost_8081/wp-admin/index.html	(from http://localhost:8081/?page_id=2)
03:43:54	525466/525466	---M--	200	added ('OK')	image/png	etag:%228049a-58795fdd173b0%22	http://localhost:8081/wp-content/uploads/2018/06/1-2.png	localhost_8081/wp-content/uploads/2018/06/1-2.png	(from http://localhost:8081/?page_id=1023)
03:43:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:43:53%20GMT	http://localhost:8081/?p=332	localhost_8081/index221f.html	(from http://localhost:8081/?page_id=332)
